Warning: total_len is larger than the maximum possible length. 
Setting total_len to the maximum possible length. 
Warning: access length of dataset by len(dataset) to get the actual length. 
[30/63] Loss: 0.4466, Accuracy: 0.8201
[40/63] Loss: 0.4411, Accuracy: 0.8215
[50/63] Loss: 0.4418, Accuracy: 0.8218
[60/63] Loss: 0.4380, Accuracy: 0.8222
[0/16] Loss: 0.1072, Accuracy: 1.0000
[10/16] Loss: 0.1128, Accuracy: 1.0000
Epoch [11/100] Train Loss: 0.4364, Train Accuracy: 0.8237, Val Loss: 0.1130, Val Accuracy: 1.0000
[0/63] Loss: 0.3887, Accuracy: 0.8438
[10/63] Loss: 0.4014, Accuracy: 0.8438
[20/63] Loss: 0.3963, Accuracy: 0.8490
[30/63] Loss: 0.3953, Accuracy: 0.8506
[40/63] Loss: 0.3912, Accuracy: 0.8516
[50/63] Loss: 0.3946, Accuracy: 0.8474
[60/63] Loss: 0.3885, Accuracy: 0.8500
[0/16] Loss: 0.0855, Accuracy: 1.0000
[10/16] Loss: 0.0934, Accuracy: 1.0000
Epoch [12/100] Train Loss: 0.3876, Train Accuracy: 0.8505, Val Loss: 0.0938, Val Accuracy: 1.0000
[0/63] Loss: 0.4194, Accuracy: 0.8281
[10/63] Loss: 0.3898, Accuracy: 0.8494
[20/63] Loss: 0.3789, Accuracy: 0.8564
[30/63] Loss: 0.3673, Accuracy: 0.8584
[40/63] Loss: 0.3613, Accuracy: 0.8607
[50/63] Loss: 0.3556, Accuracy: 0.8646
[60/63] Loss: 0.3459, Accuracy: 0.8692
[0/16] Loss: 0.0979, Accuracy: 1.0000
[10/16] Loss: 0.1016, Accuracy: 1.0000
Epoch [13/100] Train Loss: 0.3455, Train Accuracy: 0.8686, Val Loss: 0.1013, Val Accuracy: 1.0000
[0/63] Loss: 0.3582, Accuracy: 0.8516
[10/63] Loss: 0.2899, Accuracy: 0.8913
[20/63] Loss: 0.3127, Accuracy: 0.8836
[30/63] Loss: 0.3190, Accuracy: 0.8821
[40/63] Loss: 0.3269, Accuracy: 0.8784
[50/63] Loss: 0.3245, Accuracy: 0.8773
[60/63] Loss: 0.3204, Accuracy: 0.8785
[0/16] Loss: 0.0562, Accuracy: 1.0000
[10/16] Loss: 0.0592, Accuracy: 1.0000
Epoch [14/100] Train Loss: 0.3196, Train Accuracy: 0.8789, Val Loss: 0.0594, Val Accuracy: 1.0000
[0/63] Loss: 0.2923, Accuracy: 0.9219
[10/63] Loss: 0.3073, Accuracy: 0.8857
[20/63] Loss: 0.3127, Accuracy: 0.8847
[30/63] Loss: 0.3040, Accuracy: 0.8861
[40/63] Loss: 0.2949, Accuracy: 0.8914
[50/63] Loss: 0.2992, Accuracy: 0.8892
[60/63] Loss: 0.2980, Accuracy: 0.8893
[0/16] Loss: 0.0701, Accuracy: 1.0000
[10/16] Loss: 0.0734, Accuracy: 1.0000
Epoch [15/100] Train Loss: 0.2994, Train Accuracy: 0.8886, Val Loss: 0.0735, Val Accuracy: 1.0000
[0/63] Loss: 0.3924, Accuracy: 0.8359
[10/63] Loss: 0.2762, Accuracy: 0.8970
[20/63] Loss: 0.2632, Accuracy: 0.9048
[30/63] Loss: 0.2734, Accuracy: 0.8987
[40/63] Loss: 0.2693, Accuracy: 0.9026
[50/63] Loss: 0.2662, Accuracy: 0.9044
[60/63] Loss: 0.2654, Accuracy: 0.9045
[0/16] Loss: 0.0444, Accuracy: 1.0000
[10/16] Loss: 0.0466, Accuracy: 1.0000
Epoch [16/100] Train Loss: 0.2653, Train Accuracy: 0.9046, Val Loss: 0.0465, Val Accuracy: 1.0000
[0/63] Loss: 0.2913, Accuracy: 0.8750
[10/63] Loss: 0.2794, Accuracy: 0.8849
[20/63] Loss: 0.2685, Accuracy: 0.8943
[30/63] Loss: 0.2627, Accuracy: 0.8997
[40/63] Loss: 0.2629, Accuracy: 0.8981
[50/63] Loss: 0.2570, Accuracy: 0.9024
[60/63] Loss: 0.2547, Accuracy: 0.9024
[0/16] Loss: 0.0374, Accuracy: 1.0000
[10/16] Loss: 0.0420, Accuracy: 1.0000
Epoch [17/100] Train Loss: 0.2535, Train Accuracy: 0.9028, Val Loss: 0.0421, Val Accuracy: 1.0000
[0/63] Loss: 0.2224, Accuracy: 0.8984
[10/63] Loss: 0.1980, Accuracy: 0.9339
[20/63] Loss: 0.2276, Accuracy: 0.9174
[30/63] Loss: 0.2303, Accuracy: 0.9133
[40/63] Loss: 0.2275, Accuracy: 0.9156
[50/63] Loss: 0.2247, Accuracy: 0.9176
[60/63] Loss: 0.2258, Accuracy: 0.9169
[0/16] Loss: 0.0300, Accuracy: 1.0000
[10/16] Loss: 0.0324, Accuracy: 1.0000
Epoch [18/100] Train Loss: 0.2258, Train Accuracy: 0.9170, Val Loss: 0.0323, Val Accuracy: 1.0000
[0/63] Loss: 0.1331, Accuracy: 0.9688
[10/63] Loss: 0.2075, Accuracy: 0.9233
[20/63] Loss: 0.2180, Accuracy: 0.9189
[30/63] Loss: 0.2086, Accuracy: 0.9234
[40/63] Loss: 0.2027, Accuracy: 0.9245
[50/63] Loss: 0.2056, Accuracy: 0.9239
[60/63] Loss: 0.2049, Accuracy: 0.9251
[0/16] Loss: 0.0267, Accuracy: 1.0000
[10/16] Loss: 0.0274, Accuracy: 1.0000
Epoch [19/100] Train Loss: 0.2044, Train Accuracy: 0.9253, Val Loss: 0.0273, Val Accuracy: 1.0000
[0/63] Loss: 0.2823, Accuracy: 0.8828
[10/63] Loss: 0.2326, Accuracy: 0.9062
[20/63] Loss: 0.2194, Accuracy: 0.9141
[30/63] Loss: 0.2013, Accuracy: 0.9241
[40/63] Loss: 0.2014, Accuracy: 0.9228
[50/63] Loss: 0.1982, Accuracy: 0.9248
[60/63] Loss: 0.1959, Accuracy: 0.9252
[0/16] Loss: 0.0396, Accuracy: 1.0000
[10/16] Loss: 0.0468, Accuracy: 1.0000
Epoch [20/100] Train Loss: 0.1968, Train Accuracy: 0.9249, Val Loss: 0.0472, Val Accuracy: 1.0000
[0/63] Loss: 0.2524, Accuracy: 0.8906
[10/63] Loss: 0.1975, Accuracy: 0.9276
[20/63] Loss: 0.1829, Accuracy: 0.9334
[30/63] Loss: 0.1789, Accuracy: 0.9367
[40/63] Loss: 0.1862, Accuracy: 0.9354
[50/63] Loss: 0.1834, Accuracy: 0.9373
[60/63] Loss: 0.1788, Accuracy: 0.9390
[0/16] Loss: 0.0214, Accuracy: 1.0000
[10/16] Loss: 0.0216, Accuracy: 1.0000
Epoch [21/100] Train Loss: 0.1777, Train Accuracy: 0.9396, Val Loss: 0.0215, Val Accuracy: 1.0000
[0/63] Loss: 0.1619, Accuracy: 0.9609
[10/63] Loss: 0.1556, Accuracy: 0.9425
[20/63] Loss: 0.1627, Accuracy: 0.9408
[30/63] Loss: 0.1578, Accuracy: 0.9423
[40/63] Loss: 0.1539, Accuracy: 0.9451
[50/63] Loss: 0.1560, Accuracy: 0.9449
[60/63] Loss: 0.1518, Accuracy: 0.9467
[0/16] Loss: 0.0179, Accuracy: 1.0000
[10/16] Loss: 0.0237, Accuracy: 1.0000
Epoch [22/100] Train Loss: 0.1514, Train Accuracy: 0.9466, Val Loss: 0.0237, Val Accuracy: 1.0000
[0/63] Loss: 0.0867, Accuracy: 0.9766
[10/63] Loss: 0.1406, Accuracy: 0.9482
[20/63] Loss: 0.1491, Accuracy: 0.9449
[30/63] Loss: 0.1456, Accuracy: 0.9496
[40/63] Loss: 0.1438, Accuracy: 0.9499
[50/63] Loss: 0.1473, Accuracy: 0.9481
[60/63] Loss: 0.1477, Accuracy: 0.9472
[0/16] Loss: 0.0141, Accuracy: 1.0000
[10/16] Loss: 0.0142, Accuracy: 1.0000
Epoch [23/100] Train Loss: 0.1478, Train Accuracy: 0.9466, Val Loss: 0.0141, Val Accuracy: 1.0000
[0/63] Loss: 0.1242, Accuracy: 0.9531
[10/63] Loss: 0.1437, Accuracy: 0.9474
[20/63] Loss: 0.1492, Accuracy: 0.9475
[30/63] Loss: 0.1503, Accuracy: 0.9468
[40/63] Loss: 0.1452, Accuracy: 0.9480
[50/63] Loss: 0.1408, Accuracy: 0.9502
[60/63] Loss: 0.1350, Accuracy: 0.9527
[0/16] Loss: 0.0112, Accuracy: 1.0000
[10/16] Loss: 0.0126, Accuracy: 1.0000
Epoch [24/100] Train Loss: 0.1348, Train Accuracy: 0.9526, Val Loss: 0.0126, Val Accuracy: 1.0000
[0/63] Loss: 0.1551, Accuracy: 0.9531
[10/63] Loss: 0.1456, Accuracy: 0.9467
[20/63] Loss: 0.1370, Accuracy: 0.9498
[30/63] Loss: 0.1338, Accuracy: 0.9521
[40/63] Loss: 0.1322, Accuracy: 0.9531
[50/63] Loss: 0.1337, Accuracy: 0.9522
[60/63] Loss: 0.1314, Accuracy: 0.9538
[0/16] Loss: 0.0086, Accuracy: 1.0000
[10/16] Loss: 0.0089, Accuracy: 1.0000
Epoch [25/100] Train Loss: 0.1315, Train Accuracy: 0.9539, Val Loss: 0.0089, Val Accuracy: 1.0000
[0/63] Loss: 0.1208, Accuracy: 0.9453
[10/63] Loss: 0.1315, Accuracy: 0.9531
[20/63] Loss: 0.1238, Accuracy: 0.9613
[30/63] Loss: 0.1184, Accuracy: 0.9630
[40/63] Loss: 0.1166, Accuracy: 0.9632
[50/63] Loss: 0.1213, Accuracy: 0.9622
[60/63] Loss: 0.1217, Accuracy: 0.9614
[0/16] Loss: 0.0080, Accuracy: 1.0000
[10/16] Loss: 0.0081, Accuracy: 1.0000
Epoch [26/100] Train Loss: 0.1208, Train Accuracy: 0.9617, Val Loss: 0.0080, Val Accuracy: 1.0000
[0/63] Loss: 0.0838, Accuracy: 0.9688
[10/63] Loss: 0.1237, Accuracy: 0.9574
[20/63] Loss: 0.1246, Accuracy: 0.9580
[30/63] Loss: 0.1218, Accuracy: 0.9587
[40/63] Loss: 0.1219, Accuracy: 0.9592
[50/63] Loss: 0.1213, Accuracy: 0.9608
[60/63] Loss: 0.1186, Accuracy: 0.9613
[0/16] Loss: 0.0098, Accuracy: 1.0000
[10/16] Loss: 0.0130, Accuracy: 1.0000
Epoch [27/100] Train Loss: 0.1209, Train Accuracy: 0.9605, Val Loss: 0.0129, Val Accuracy: 1.0000
[0/63] Loss: 0.1370, Accuracy: 0.9531
[10/63] Loss: 0.1474, Accuracy: 0.9425
[20/63] Loss: 0.1273, Accuracy: 0.9542
[30/63] Loss: 0.1177, Accuracy: 0.9569
