Warning: total_len is larger than the maximum possible length. 
Setting total_len to the maximum possible length. 
Warning: access length of dataset by len(dataset) to get the actual length. 
[0/63] Loss: 2.4417, Accuracy: 0.1016
[10/63] Loss: 2.3882, Accuracy: 0.1016
[20/63] Loss: 2.3411, Accuracy: 0.1179
[30/63] Loss: 2.3070, Accuracy: 0.1227
[40/63] Loss: 2.2489, Accuracy: 0.1412
[50/63] Loss: 2.2033, Accuracy: 0.1506
[60/63] Loss: 2.1437, Accuracy: 0.1647
[0/16] Loss: 1.7498, Accuracy: 0.2500
[10/16] Loss: 1.7726, Accuracy: 0.2294
Epoch [1/100] Train Loss: 2.1420, Train Accuracy: 0.1644, Val Loss: 1.7696, Val Accuracy: 0.2300
[0/63] Loss: 1.9452, Accuracy: 0.1719
[10/63] Loss: 1.8099, Accuracy: 0.2330
[20/63] Loss: 1.7747, Accuracy: 0.2548
[30/63] Loss: 1.7335, Accuracy: 0.2684
[40/63] Loss: 1.7060, Accuracy: 0.2784
[50/63] Loss: 1.6725, Accuracy: 0.2888
[60/63] Loss: 1.6407, Accuracy: 0.3014
[0/16] Loss: 1.2037, Accuracy: 0.4766
[10/16] Loss: 1.1919, Accuracy: 0.5270
Epoch [2/100] Train Loss: 1.6385, Train Accuracy: 0.3014, Val Loss: 1.1940, Val Accuracy: 0.5185
[0/63] Loss: 1.3388, Accuracy: 0.4141
[10/63] Loss: 1.4114, Accuracy: 0.3729
[20/63] Loss: 1.3885, Accuracy: 0.3891
[30/63] Loss: 1.3784, Accuracy: 0.3904
[40/63] Loss: 1.3429, Accuracy: 0.4059
[50/63] Loss: 1.3182, Accuracy: 0.4144
[60/63] Loss: 1.3023, Accuracy: 0.4206
[0/16] Loss: 0.8471, Accuracy: 0.7266
[10/16] Loss: 0.8473, Accuracy: 0.7294
Epoch [3/100] Train Loss: 1.3013, Train Accuracy: 0.4213, Val Loss: 0.8446, Val Accuracy: 0.7385
[0/63] Loss: 1.1272, Accuracy: 0.5156
[10/63] Loss: 1.1003, Accuracy: 0.5043
[20/63] Loss: 1.1069, Accuracy: 0.5004
[30/63] Loss: 1.0820, Accuracy: 0.5116
[40/63] Loss: 1.0736, Accuracy: 0.5128
[50/63] Loss: 1.0717, Accuracy: 0.5162
[60/63] Loss: 1.0692, Accuracy: 0.5181
[0/16] Loss: 0.7802, Accuracy: 0.6562
[10/16] Loss: 0.7668, Accuracy: 0.6776
Epoch [4/100] Train Loss: 1.0672, Train Accuracy: 0.5194, Val Loss: 0.7715, Val Accuracy: 0.6650
[0/63] Loss: 0.9803, Accuracy: 0.5781
[10/63] Loss: 0.9858, Accuracy: 0.5597
[20/63] Loss: 0.9629, Accuracy: 0.5688
[30/63] Loss: 0.9380, Accuracy: 0.5842
[40/63] Loss: 0.9307, Accuracy: 0.5848
[50/63] Loss: 0.9273, Accuracy: 0.5869
[60/63] Loss: 0.9240, Accuracy: 0.5886
[0/16] Loss: 0.6589, Accuracy: 0.6484
[10/16] Loss: 0.6732, Accuracy: 0.6619
Epoch [5/100] Train Loss: 0.9242, Train Accuracy: 0.5883, Val Loss: 0.6762, Val Accuracy: 0.6640
[0/63] Loss: 1.0174, Accuracy: 0.5078
[10/63] Loss: 0.8575, Accuracy: 0.6314
[20/63] Loss: 0.8530, Accuracy: 0.6261
[30/63] Loss: 0.8363, Accuracy: 0.6346
[40/63] Loss: 0.8225, Accuracy: 0.6418
[50/63] Loss: 0.8110, Accuracy: 0.6474
[60/63] Loss: 0.8003, Accuracy: 0.6537
[0/16] Loss: 0.4266, Accuracy: 0.8125
[10/16] Loss: 0.4329, Accuracy: 0.8452
Epoch [6/100] Train Loss: 0.7995, Train Accuracy: 0.6539, Val Loss: 0.4370, Val Accuracy: 0.8395
[0/63] Loss: 0.8006, Accuracy: 0.6719
[10/63] Loss: 0.7505, Accuracy: 0.6896
[20/63] Loss: 0.7489, Accuracy: 0.6894
[30/63] Loss: 0.7419, Accuracy: 0.6888
[40/63] Loss: 0.7347, Accuracy: 0.6911
[50/63] Loss: 0.7360, Accuracy: 0.6863
[60/63] Loss: 0.7361, Accuracy: 0.6860
[0/16] Loss: 0.3093, Accuracy: 0.9688
[10/16] Loss: 0.3196, Accuracy: 0.9730
Epoch [7/100] Train Loss: 0.7347, Train Accuracy: 0.6867, Val Loss: 0.3205, Val Accuracy: 0.9760
[0/63] Loss: 0.6411, Accuracy: 0.7578
[10/63] Loss: 0.6637, Accuracy: 0.7301
[20/63] Loss: 0.6541, Accuracy: 0.7299
[30/63] Loss: 0.6477, Accuracy: 0.7382
[40/63] Loss: 0.6462, Accuracy: 0.7351
[50/63] Loss: 0.6417, Accuracy: 0.7370
[60/63] Loss: 0.6355, Accuracy: 0.7395
[0/16] Loss: 0.1968, Accuracy: 1.0000
[10/16] Loss: 0.2045, Accuracy: 0.9979
